SCALERANK,NAME,LATITUDE,LONGITUDE
2,Minneapolis,44.9799792674,-93.25178633809999
2,Honolulu,21.3068764435,-157.857997886
2,Seattle,47.570002053900005,-122.33998498700001
2,Phoenix,33.5399798778,-112.069991701
2,San Diego,32.8200238231,-117.17998987
2,St. Louis,38.6350177196,-90.2399805112
2,New Orleans,29.9950024607,-90.03996688
2,Dallas,32.8200238231,-96.8400169289
2,Boston,42.3299601431,-71.0700136736
2,Tampa,27.9469879344,-82.4586208514
2,Philadelphia,39.9999731639,-75.1699959734
2,Detroit,42.3299601431,-83.0800557879
2,Anchorage,61.2199699088,-149.90021488600001
1,San Francisco,37.7400077505,-122.45997766299999
1,Denver,39.7391880484,-104.98401595200001
1,Houston,29.819974384600002,-95.3399792905
1,Miami,25.787610696399998,-80.2241060808
1,Atlanta,33.830013854,-84.3999493833
1,Chicago,41.8299906607,-87.7500549741
0,Los Angeles,33.9899782502,-118.17998051100001
0,"Washington, D.C.",38.8995493765,-77.0094185808
0,New York,40.749979064,-73.9800169288
